# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467643 3 ./node_modules/next/dist/server/future/normalizers/request/postponed.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 437939 3 ./node_modules/.next-TqhSVffh/dist/lib/metadata/resolve-metadata.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467268 3 ./node_modules/next/dist/build/webpack/loaders/next-style-loader/index.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467764 3 ./node_modules/next/dist/shared/lib/router/utils/route-regex.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 107177 3 ./node_modules/.next-TqhSVffh/dist/server/lib/incremental-cache/shared-revalidate-timings.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 466993 3 ./node_modules/next/dist/server/future/route-matcher-providers/dev/dev-app-page-route-matcher-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 464115 3 ./node_modules/.next-TqhSVffh/dist/server/config.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 41603 3 ./node_modules/tsconfig-paths/lib/__tests__/tsconfig-loader.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 467540 3 ./node_modules/next/dist/build/normalize-catchall-routes.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 45897 3 ./node_modules/react-remove-scroll/dist/es2019/types.js
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464108 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/compute-changed-path.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467088 3 ./node_modules/next/dist/client/components/router-reducer/reducers/find-head-in-cache.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467331 3 ./node_modules/next/dist/server/future/helpers/interception-routes.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464080 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/clear-cache-node-data-for-segment-path.test.d.ts
